userId,name,popId,rate,review,type
0,매트 아이 컬러,0,4.57,진저 진짜 짱 추천합니다! 코섀디에도 완전 자연스럽고 그냥 단독으로도 진짜 이뻐요???? 웜톤한테 특히 추천,건성
1,매트 아이 컬러,0,4.57,진저....평생이걸로쓸거에요,건성
2,매트 아이 컬러,0,4.57,완전 매트하고 다 제가 좋아하는 색이여서 너무 좋아요!,건성
3,매트 아이 컬러,0,4.57,"좋은 거 하나 사서 힛팬 하는 걸 목표로 프레스코 구매함. 프레스코 저렴이 많이 가지고 있었는데, 원조와 비교해보곤 원조 발끝도 못미치길래 처분해버렸다 ㅎ... 색도 고급스럽지만 질이 정말 좋은 것 같다. 뭉침도 없고 발색도 굉장히 선명함. 데일리로 쓸 섀도우 딱 하나만 살 수 있다면 로라 음영 섀도우 사라고 할 것.",건성
4,매트 아이 컬러,0,4.57,"한창 섀도우에 빠져 있을때 뭐 살지 고민하다가 평이 좋아서 진저 구매해서 사용해 봤습니다!!
살짝 핑크빛 도는 베이지 컬러인데 데일리로 하나만 쓰기에도 정말 예쁘고 베이스로 쓰고 음영 넣어줘도 되게 예쁘더라구용!!!",건성
5,매트 아이 컬러,0,4.57,"가을웜톤(트루가을)입니다
#진저 사용중인데 왜 유명한지 알겠네요
잘 어울리고 베이스깔기로 아주 좋은듯
이거 하나만 발라도 괜찮구요

외관도 예쁘고 케이스도 단단한데 거울도 부착되어있어서
들고다니기도 좋아용
35,000원주고 사기는 아까워서 면세찬스 이용했습니다
힛팬보면 재구매할듯하네요!",건성
6,매트 아이 컬러,0,4.57,"진저색상이 엄청유명해서 한번 사봤는데요!
가격은 좀 비싸지만 진짜 가격값하는거같아요
입자도 곱고 딱 베이스로 쓸때 싸악 밀착도 잘되고 색도 피부에 착붙인듯",건성
7,매트 아이 컬러,0,4.57,"면세로 샀는데 잘 밀착되게 발려요.
진저 색상 진짜 이뻐서 데일리로 무난하게 바르는것 같네요.",건성
8,매트 아이 컬러,0,4.57,여쿨이라구 캐시미어 삿는데 안어울리구 멍든것같네여....전여쿨이아니엇나바여ㅠㅠㅠㅠ,건성
9,매트 아이 컬러,0,4.60,"모두가 추천하던 제품이라 왜 추천했는지 늘 궁금했는데 이유를 알거 같네요.
저는 진저로 구매했는데 진저 색상 자체가 어떤 메이크업을 할때도 그냥 자유롭게 쓸 수 있어서 사람들이 좋아 하는거 같네요.

진저는 베이스 색상으로 매우 쓰기 좋은데, 색이 너무 노랗지도 붉지도 않아서 그냥 덧발라도 이쁘게 쌓이는 제품이라 초보자 분들도 쓰기 좋을거 같네요.
줄기차게 쓸것이다ㅎㅎ",지성
10,매트 아이 컬러,0,4.60,비싼 돈주고 한 번 써봤는데 우와... 확실히 질감이랑 지속력이 다르네요ㅋㅋㅋㅋㅋㅋ 진저 사서 요즘엔 요거 하나만 바르고 있습니당ㅎㅎ,지성
11,매트 아이 컬러,0,4.60,"웜톤한테 로라메르시에 진저컬러가 착붙이라길래 추천받아 구매해봤는데 비싼만큼 다른 섀도우들에 비해 케이스가 견고하고 고급스럽습니다
진저는 진짜 로드샵 브라운계열 섀도우들이 대체할 수 없을 것 같은 컬러감에 베이스로도 좋오 단품으로도 좋을 컬러에요! 하나쯤 있으면 하나만 발라도 좋을 제품인 것 같습니다
사실 엄청 좋다고 느끼진 못했지만 비싼 값은 한다고 느꼈어요! 가루날림도 많지 않으면서 발색이나 색감은 완벽하고 웜톤한테 잘 받는 것도 맞는 것 같았거든요! 지금은 힛팬 보일 때까지 잘 쓰고 있어요",지성
