성분명,위험도,지성,건성,민감성
"1,2-헥산다이올",-1,0,0,0
C9-15플루오로알코올포스페이트,-1,0,0,0
t-부틸알코올,-2,0,0,0
감나무잎추출물,0,0,0,0
구리가루,-2,0,0,0
글래스,-1,0,0,0
글리세린,-2,0,5,0
글리세릴스테아레이트,-1,0,0,0
글리세릴카프릴레이트,-1,0,0,0
금,-4,0,0,0
꿀추출물,-1,0,0,0
나일론-12,-1,0,0,0
나일론-6,-1,0,0,0
나팔수선화추출물,-1,0,0,0
네오펜틸글라이콜다이에틸헥사노에이트,-1,0,0,0
네오펜틸글라이콜디카프릴레이트/디카프레이트,-1,0,0,0
다마스크장미꽃오일,-1,0,0,0
다이글리세릴세바케이트/아이소팔미테이트,0,0,0,0
다이메티콘,-3,0,0,0
다이메티콘/비닐다이메티콘크로스폴리머,-1,0,0,0
다이메티콘실릴레이트,0,0,0,0
다이메티콘올,-1,0,0,0
다이메티콘올스테아레이트,-1,0,0,0
다이메티콘크로스폴리머,-1,0,0,0
다이소듐이디티에이,-1,0,0,0
다이소듐코코일글루타메이트,-1,0,0,0
다이스테아다이모늄헥토라이트,-1,0,0,0
다이아이소스테아릴말레이트,-1,0,0,0
다이칼슘포스페이트,-1,0,0,0
다이페닐다이메티콘/비닐다이페닐다이메티콘/실세스퀴옥세인크로스폴리머,0,0,0,0
다이페닐실록시페닐트라이메티콘,-1,0,0,0
다이펜타에리스리틸헥사하이드록시스테아레이트,-1,0,0,0
다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트,0,0,0,0
다이프로필렌글라이콜,-1,0,0,0
당근추출물,-1,0,0,0
데하이드로아세틱애씨드,-1,0,0,0
도데케인,0,0,0,0
돌콩오일,-1,0,0,0
라우로일라이신,-1,0,0,0
레몬추출물,-2,5,0,-5
레시틴,-3,0,0,0
로진,-6,0,0,0
루비가루,-1,0,0,0
류코노스톡/무발효여과물,-1,0,0,0
마그네슘미리스테이트,-1,0,0,0
마그네슘설페이트,-1,0,0,0
마그네슘스테아레이트,-1,0,0,0
마그네슘실리케이트,-1,0,0,0
마그네슘알루미늄실리케이트,-1,0,0,0
마그네슘카보네이트,-1,0,0,0
마돈나백합비늘줄기추출물,-1,0,0,0
마이카,-2,0,0,0
마이크로크리스탈린왁스,-1,0,0,0
마카다미아씨오일,-1,0,0,0
말토덱스트린,-1,0,0,0
망가니즈바이올렛,-1,0,0,0
망고씨버터,-1,0,0,0
메티콘,-1,0,0,0
메틸메타크릴레이트크로스폴리머,-1,0,0,0
메틸셀룰로오스,-1,0,0,0
메틸파라벤,-4,0,0,0
미네랄솔트,-1,0,0,0
미네랄오일,-3,0,0,0
미리스틱애씨드,-1,-5,0,0
밀전분,-2,0,0,0
바닐라열매추출물,-1,0,0,0
바닐린,-1,0,0,0
바륨설페이트,-2,0,0,0
바세린,-4,-5,0,0
베헨트라이모늄클로라이드,-3,0,0,0
보론나이트라이드,-1,0,0,0
부틸렌글라이콜,-1,0,5,0
부틸파라벤,-7,0,0,0
붓꽃추출물,-1,0,0,0
브이피/브이에이코폴리머,-1,0,0,0
비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,0,0,0,0
비사보롤,-1,0,0,0
비스-다이글리세릴폴리아실아디페이트-2,-1,0,0,0
비스머스옥시클로라이드,-1,0,0,0
비에이치티,-4,0,0,0
비즈왁스,-1,0,0,0
사이클로메티콘,-2,0,0,0
사이클로펜타실록세인,-3,0,0,0
산화주석,0,0,0,0
살트리씨버터,-1,0,0,0
서양배추출물,-1,0,0,0
서양장미꽃추출물,-1,0,0,0
설프릭애씨드,-6,0,0,0
세레신,-1,0,0,0
세테아릴에틸헥사노에이트,-1,0,0,0
세틸다이메티콘,-1,0,0,0
세틸아세테이트,-1,0,0,0
세틸에틸헥사노에이트,-1,0,0,0
소듐데하이드로아세테이트,-1,0,0,0
소듐라우로일아스파테이트,-1,0,0,0
소듐미리스토일글루타메이트,-1,0,0,0
소듐사카린,-1,0,0,0
소듐코코일글루타메이트,-1,0,0,0
소르빅애씨드,-3,0,0,0
소르빈산,-3,0,0,0
솔비탄세스퀴스테아레이트,0,0,0,0
솔비탄세스퀴아이소스테아레이트,-1,0,0,0
솔비탄세스퀴올리에이트,-1,0,0,0
솔비탄스테아레이트,-1,0,0,0
솔비탄아이소스테아레이트,-1,0,0,0
솔비탄올리베이트,-1,0,0,0
수크로오스,-1,0,0,0
수크로오스테트라스테아레이트트라이아세테이트,-1,0,0,0
쉐어버터,-1,-5,0,0
스위트아몬드오일,-1,0,0,0
스쿠알란,-1,0,0,0
스테아로일글루타믹애씨드,-1,0,0,0
스테아릭애씨드,-1,-5,0,0
시메티콘,-1,0,0,0
시트릭애씨드,-2,0,0,-5
식물성오일,-1,0,0,0
실리카,-2,0,0,0
실리카실릴레이트,-1,0,0,0
실버,-5,0,0,0
실크가루,-1,0,0,0
쌀겨왁스,-3,0,0,0
아르간트리커넬오일,-1,0,0,0
아보카도오일,-1,0,5,0
아세틸레이티드라놀린알코올,-2,0,0,0
아스코빌팔미테이트,-1,0,0,0
아이런옥사이드,-2,0,0,0
아이소노닐아이소노나노에이트,-1,0,0,0
아이소도데케인,-1,0,0,0
아이소스테아릭애씨드,-1,0,0,0
아이소스테아릴네오펜타노에이트,-1,0,0,0
아이소스테아릴아이소스테아레이트,-1,0,0,0
아이소트라이데실아이소노나노에이트,-1,0,0,0
아이소펜틸다이올,-1,0,0,0
아이소프로필라놀레이트,-2,0,0,0
아이소프로필아이소스테아레이트,-1,0,0,0
아이소프로필티타늄트라이아이소스테아레이트,-1,0,0,0
아이소프로필팔미테이트,-1,0,0,0
아이소헥사데칸,-1,0,0,0
아크릴레이트코폴리머,-2,0,0,0
아크릴아마이드/소듐아크릴로일다이메틸타우레이트코폴리머,-2,0,0,0
알란토인,-1,5,0,5
알루미나,-2,0,0,0
알루미늄,0,0,0,0
알루미늄가루,-9,0,0,0
알루미늄다이스테아레이트,-3,0,0,0
알루미늄디미리스테이트,-1,0,0,0
알루미늄스타치옥테닐석시네이트,-2,0,0,0
알루미늄칼슘소듐실리케이트,-2,0,0,0
알루미늄하이드록사이드,-1,0,0,0
암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,-1,0,0,0
에델바이스꽃/잎추출물,0,0,0,0
에이치디아이/트라이메틸올헥실락톤크로스폴리머,-1,0,0,0
에이치디아이/피피지/폴리카프롤락톤크로스폴리머,-1,0,0,0
에이코세인,0,0,0,0
에틸렌/브이에이코폴리머,-1,0,0,0
에틸렌/아크릴릭애씨드코폴리머,-2,0,0,0
에틸렌/프로필렌코폴리머,-1,0,0,0
에틸파라벤,-4,0,0,0
에틸헥실글리세린,-1,0,0,0
에틸헥실메톡시신나메이트,-6,0,0,0
에틸헥실팔미테이트,-1,0,0,0
에틸헥실하이드록시스테아레이트,-1,0,0,0
연꽃추출물,-1,0,0,0
오조케라이트,-1,0,0,0
옥수수전분,-1,0,0,0
옥타데케인,0,0,0,0
옥틸도데실락테이트,-1,0,0,0
옥틸도데실스테아레이트,-1,0,0,0
옥틸도데실스테아로일스테아레이트,-1,0,0,0
옥틸도데칸올,-1,0,0,0
울트라마린,-4,0,0,0
이산화규소,0,0,0,0
자수정가루,-1,0,0,0
자작나무수액,-1,0,0,0
잔탄검,-1,0,0,0
장미꽃추출물,-1,0,0,0
장미추출물,-1,0,0,0
쟈스민꽃/잎추출물,0,0,0,0
적색104호의1레이크,0,0,0,0
적색1호,-4,0,0,0
적색1호레이크,0,0,0,0
적색2호,-3,0,0,0
적색2호레이크,0,0,0,0
적색226호,-5,0,0,0
적색226호레이크,0,0,0,0
적색228호,-5,0,0,0
적색40호,-3,0,0,0
적색산화철,-2,0,0,0
정제소듐하이알루로네이트,-1,0,5,0
정제수,-1,0,0,0
진주가루,-1,0,0,0
징크미리스테이트,0,0,0,0
징크스테아레이트,-2,0,0,0
징크옥사이드,-3,5,0,0
