번호,제품명,브랜드명,성분구성
1,매트 아이 컬러,로라 메르시에,"탤크,옥수수전분,징크스테아레이트,마이카,실리카,카민,카프릴릭/카프릭트라이글리세라이드,클로페네신,합성비즈왁스,테트라소듐이디티에이,티타늄디옥사이드,황색산화철,울트라마린,적색산화철,다이메티콘,아이소노닐아이소노나노에이트,흑색산화철,포타슘솔베이트,다이메티콘올"
2,아이섀도우,바비 브라운,"탤크,징크스테아레이트,테트라소듐이디티에이,포타슘솔베이트,마이카,황색산화철,황색4호,청색1호,크로뮴옥사이드그린,카민,향료,폴리에틸렌,트라이카프릴린,클로페네신,티타늄디옥사이드,적색산화철,흑색산화철,청색1호레이크,망가니즈바이올렛,페릭페로시아나이드,크로뮴하이드록사이드그린,비스머스옥시클로라이드"
3,피스 매칭 섀도우 매트,홀리카홀리카,"탤크,마이카,나일론-12,티타늄디옥사이드,보론나이트라이드,네오펜틸글라이콜다이에틸헥사노에이트,페닐트라이메티콘,실리카,마그네슘미리스테이트,다이메티콘,마카다미아씨오일,마그네슘스테아레이트,프로판다이올,합성플루오르플로고파이트,다이아이소스테아릴말레이트,다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트,아이소스테아릴네오펜타노에이트,옥틸도데실스테아로일스테아레이트,다이메티콘올스테아레이트,폴리부텐,메티콘,비즈왁스,황색산화철,적색산화철,흑색산화철"
4,모던 섀도우 이탈프리즘-쉬머,미샤,"마이카,티타늄디옥사이드,적색산화철,세테아릴에틸헥사노에이트,알루미늄칼슘소듐실리케이트,에이치디아이/트라이메틸올헥실락톤크로스폴리머,황색산화철,스쿠알란,옥틸도데실스테아로일스테아레이트,글리세린,폴리솔베이트20,카프릴릴글라이콜,에틸헥실글리세린,1,2-헥산다이올,틴옥사이드,흑색산화철,카라기난,잔탄검,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,실리카,다이칼슘포스페이트,합성플루오르플로고파이트"
5,새틴 아이컬러,로라 메르시에,"마이카,티타늄디옥사이드,적색산화철,세테아릴에틸헥사노에이트,글리세린,에이치디아이/트라이메틸올헥실락톤크로스폴리머,흑색산화철,스쿠알란,옥틸도데실스테아로일스테아레이트,폴리솔베이트20,카프릴릴글라이콜,에틸헥실글리세린,1,2-헥산다이올,틴옥사이드,카라기난,잔탄검,실리카,다이칼슘포스페이트,합성플루오르플로고파이트"
6,피스매칭 12구 섀도우 팔레트,홀리카홀리카,"탤크,마이카,보론나이트라이드,실리카,네오펜틸글라이콜다이에틸헥사노에이트,마그네슘미리스테이트,페닐트라이메티콘,티타늄디옥사이드,적색산화철,마그네슘스테아레이트,프로판다이올,다이아이소스테아릴말레이트,다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트,아이소스테아릴네오펜타노에이트,옥틸도데실스테아로일스테아레이트,하이드로제네이티드레시틴,폴리부텐,다이메티콘,라우로일라이신,트라이에톡시카프릴릴실레인,흑색산화철,적색226호,황색4호,나일론-12,마카다미아씨오일,다이메티콘올스테아레이트,울트라마린,황색5호"
7,문더스트 아이섀도우 파 아 포피에르,어반디케이,"다이메티콘,칼슘소듐보로실리케이트,트라이아이소스테아릴시트레이트,합성플루오르플로고파이트,탤크,실리카,아이소도데케인,폴리에틸렌,세틸다이메티콘,페녹시에탄올,카프릴릴글라이콜,아이소프로필티타늄트라이아이소스테아레이트,틴옥사이드,적색산화철,흑색산화철,마이카,티타늄디옥사이드,청동가루,비스머스옥시클로라이드,울트라마린,크로뮴옥사이드그린,페릭페로시아나이드,카민"
8,네이키드 히트,어반디케이,"탤크,카프릴릭/카프릭트라이글리세라이드,징크스테아레이트,피티에프이,폴리에틸렌테레프탈레이트,칼슘알루미늄보로실리케이트,에틸렌/아크릴릭애씨드코폴리머,칼슘소듐보로실리케이트,소듐데하이드로아세테이트,페녹시에탄올,합성플루오르플로고파이트,실리카,소르빅애씨드,알루미나,폴리우레탄-33,틴옥사이드,폴리부틸렌테레프탈레이트,폴리락틱애씨드,폴리메틸메타크릴레이트,아크릴레이트코폴리머,스테아릭애씨드,칼슘스테아레이트,마그네슘스테아레이트,마이카,티타늄디옥사이드,적색산화철,황색산화철,흑색산화철,망가니즈바이올렛,울트라마린,비스머스옥시클로라이드,청동가루,카민,알루미늄가루,청색1호,구리가루,페릭페로시아나이드,크로뮴옥사이드그린,페릭암모늄페로시아나이드,황색4호,크로뮴하이드록사이드그린"
9,매그니피센트 메탈글리터 앤 글로우 리퀴드 아이섀도우,스틸라,"정제수,마이카,알루미늄칼슘소듐실리케이트,칼슘소듐보로실리케이트,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,스쿠알란,폴리솔베이트60,폴리에틸렌테레프탈레이트,카프릴릴글라이콜,헥실렌글라이콜,페녹시에탄올,글리세린,트라이에탄올아민,카보머,실리카,티타늄디옥사이드,틴옥사이드"
10,스위트 피치 아이섀도우 컬렉션,투페이스드,"탤크,마이카,실리카,메틸메타크릴레이트크로스폴리머,마그네슘미리스테이트,다이아이소스테아릴말레이트,황색4호,적색산화철,징크스테아레이트,하이드로제네이티드폴리(C6-14올레핀),흑색산화철,페닐트라이메티콘,펜타에리스리틸테트라아이소스테아레이트,옥틸도데실스테아로일스테아레이트,메티콘,다이메티콘,에틸헥실글리세린,페녹시에탄올,바륨설페이트,적색202호,글리세릴카프릴레이트,알루미늄디미리스테이트,에이치디아이/트라이메틸올헥실락톤크로스폴리머,로진,네오펜틸글라이콜다이에틸헥사노에이트,폴리글리세릴-2트라이아이소스테아레이트,트라이에틸헥사노인,폴리하이드록시스테아릭애씨드"
