성분명,위험도,지성,건성,민감성
"1,2-헥산다이올",-1,0,0,0
4-메칠벤질리덴캠퍼,-7,0,0,0
7-데하이드로콜레스테롤,-1,0,0,0
C10-13아이소파라핀,-1,0,0,0
C12-15알킬벤조에이트,-1,0,0,0
C12-15알킬에틸헥사노에이트,-1,0,0,0
C13-16아이소파라핀,-1,0,0,0
C20-40파레스-10,-1,0,0,0
C30-45알킬다이메티콘,-1,0,0,0
C30-45알킬다이메틸실릴폴리프로필실세스퀴옥세인,0,0,0,0
C30-45알킬메티콘,-1,0,0,0
C30-45알킬세테아릴다이메티콘크로스폴리머,-1,0,0,0
C30-45올레핀,-1,0,0,0
C9-15플루오로알코올포스페이트,-1,0,0,0
p-아니식애씨드,-1,0,0,0
가지열매추출물,-1,0,0,0
각시둥굴레뿌리줄기/뿌리추출물,-1,0,0,0
갈바눔수지오일,0,0,0,0
갈조추출물,-1,0,0,0
감초추출물,-1,0,0,0
감태추출물,-1,0,0,0
개청각추출물,-1,0,0,0
겐티아나추출물,-1,0,0,0
고삼추출물,-1,0,0,0
구주소나무잎오일,-2,0,0,0
귀리커넬추출물,-1,0,0,0
귤껍질추출물,-1,0,0,0
글라이신,-1,0,0,0
글루코실헤스페리딘,-1,0,0,0
글루타티온,-1,0,0,0
글리세릴리놀리에이트,-3,0,0,0
글리세릴베헤네이트,-4,0,0,0
글리세릴스테아레이트,-1,0,0,0
글리세릴스테아레이트에스이,-1,0,0,0
글리세릴올리에이트,-1,0,0,0
글리세릴운데실다이메티콘,0,0,0,0
글리세릴카프릴레이트,-1,0,0,0
글리세릴폴리메타크릴레이트,-1,0,0,0
금,-4,0,0,0
꿀,-1,0,0,0
나이아신아마이드,-1,0,0,0
나일론-12,-1,0,0,0
납작파래추출물,-1,0,0,0
네오펜틸글라이콜다이에틸헥사노에이트,-1,0,0,0
네오펜틸글라이콜다이카프레이트,-1,0,0,0
네오펜틸글라이콜다이헵타노에이트,-1,0,0,0
노티드랙추출물,-1,0,0,0
녹차수,-1,5,0,0
녹차추출물,-1,5,0,0
니코티노일트라이펩타이드-1,0,0,0,0
다마스크장미꽃추출물,-1,0,0,0
다시마추출물,-1,0,0,0
다이글리세릴세바케이트/아이소팔미테이트,0,0,0,0
다이메톡시톨릴프로필레조시놀,-1,0,0,0
다이메티콘,-3,0,0,0
다이메티콘/비닐다이메티콘크로스폴리머,-1,0,0,0
다이메티콘/비스-아이소부틸피피지-20크로스폴리머,-1,0,0,0
다이메티콘/페닐비닐다이메티콘크로스폴리머,-1,0,0,0
다이메티콘/폴리글리세린-3크로스폴리머,-1,0,0,0
다이메티콘/피이지-10/15크로스폴리머,0,0,0,0
다이메티콘실릴레이트,0,0,0,0
다이메티콘올,-1,0,0,0
다이메티콘크로스폴리머,-1,0,0,0
다이메티콘크로스폴리머-3,-1,0,0,0
다이소듐스테아로일글루타메이트,-1,0,0,0
다이소듐아데노신트라이포스페이트,-1,0,0,0
다이소듐엔에이디에이치,0,0,0,0
다이소듐이디티에이,-1,0,0,0
다이소듐포스페이트,-1,0,0,0
다이스테아다이모늄헥토라이트,-1,0,0,0
다이스테아릴다이모늄클로라이드,-3,0,0,0
다이아몬드가루,-1,0,0,0
다이아이소스테아릴말레이트,-1,0,0,0
다이아이소프로필세바케이트,-1,0,0,0
다이에틸아미노하이드록시벤조일헥실벤조에이트,-2,0,0,0
다이에틸헥실석시네이트,-1,0,0,0
다이카프릴릴카보네이트,-1,0,0,0
다이페닐다이메티콘,-1,0,0,0
다이페닐다이메티콘/비닐다이페닐다이메티콘/실세스퀴옥세인크로스폴리머,0,0,0,0
다이페닐실록시페닐트라이메티콘,-1,0,0,0
다이펜타에리스리틸테트라하이드록시스테아레이트/테트라아이소스테아레이트,-1,0,0,0
다이펜타에리스리틸트라이-폴리하이드록시스테아레이트,0,0,0,0
다이펜타에리스리틸헥사C5-9애씨드에스터,-1,0,0,0
다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트,0,0,0,0
다이포타슘글리시리제이트,-1,0,0,0
다이프로필렌글라이콜,-1,0,0,0
달맞이꽃오일,-1,0,5,0
당근씨오일,-1,0,0,0
당근추출물,-1,0,0,0
당아욱추출물,-1,0,0,0
덜스추출물,-1,0,0,0
데사미도콜라겐,0,0,0,0
데실옥사졸리디논,-1,0,0,0
데이지꽃추출물,-1,0,0,0
덱스트린,-1,0,0,0
덱스트린팔미테이트,-1,0,0,0
도데세닐스테아릴석신아마이드,0,0,0,0
돌콩오일,-1,0,0,0
동백꽃수,-1,0,0,0
동백꽃추출물,-1,0,0,0
동백나무꽃추출물,-1,0,0,0
드럼스틱씨추출물,-1,0,0,0
라놀린,-1,0,0,0
라벤더꽃/잎/줄기추출물,0,0,0,0
라벤더꽃추출물,-1,0,0,0
라벤더오일,-1,0,0,-5
라벤더추출물,-1,0,0,0
라우레스-12,-3,0,0,0
라우레스-4,-3,0,0,0
라우레스-7,-3,0,0,0
라우로일라이신,-1,0,0,0
