번호,제품명,브랜드명,성분구성
1,뗑 이돌 롱라스팅 파운데이션 SPF38 PA++,랑콤,"정제수,다이메티콘,아이소도데케인,변성알코올,에틸헥실메톡시신나메이트,트라이메틸실록시실리케이트,부틸렌글라이콜,티타늄디옥사이드,피이지-10다이메티콘,펄라이트,합성플루오르플로고파이트,비스-피이지/피피지-14/14다이메티콘,에이치디아이/트라이메틸올헥실락톤크로스폴리머,아이소부테인,다이펜타에리스리틸테트라하이드록시스테아레이트/테트라아이소스테아레이트,실리카,실리카실릴레이트,알루미늄하이드록사이드,마그네슘설페이트,나일론-12,소듐스테아로일글루타메이트,아이소프로필라우로일사코시네이트,하이드로젠다이메티콘,다이아이소프로필세바케이트,다이스테아다이모늄헥토라이트,아크릴로나이트릴/메틸메타크릴레이트/비닐리덴클로라이드코폴리머,비에이치티,토코페롤,페녹시에탄올,리날룰,유제놀,알파-아이소메틸아이오논,헥실신나몰,벤질알코올,벤질살리실레이트,향료,적색산화철,황색산화철,흑색산화철"
2,아쿠아 글로우 쿠션 파운데이션 SPF23 PA++,나스,"정제수,메틸트라이메티콘,다이메티콘,에틸헥실메톡시신나메이트,티타늄디옥사이드,에틸헥실살리실레이트,다이페닐실록시페닐트라이메티콘,부틸렌글라이콜다이카프릴레이트/다이카프레이트,라우릴피이지-9폴리다이메틸실록시에틸다이메티콘,글리세린,부틸렌글라이콜,마이카,펜틸렌글라이콜,트라이실록세인,피이지-10다이메티콘,다이메티콘크로스폴리머,아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머,마그네슘설페이트,황색산화철,페녹시에탄올,에틸헥실글리세린,다이스테아다이모늄헥토라이트,라우로일라이신,해수,스테아릭애씨드,알루미나,폴리하이드록시스테아릭애씨드,향료,트라이에톡시카프릴릴실레인,적색산화철,알루미늄하이드록사이드,아이소프로필미리스테이트,아이소스테아릭애씨드,에틸헥실팔미테이트,레시틴,프로판다이올,아데노신,폴리글리세릴-3폴리리시놀리에이트,흑색산화철,다이소듐이디티에이,알테로모나스발효추출물,노티드랙추출물,동백꽃추출물,클로페네신,레티닐팔미테이트,아스코빅애씨드,토코페릴아세테이트,토코페롤,소듐하이알루로네이트"
3,원피엘 파운데이저 SPF20 PA++,메이크힐,"정제수,티타늄디옥사이드,사이클로펜타실록세인,다이페닐실록시페닐트라이메티콘,부틸렌글라이콜,트라이메틸실록시실리케이트,피이지-10다이메티콘,다이메티콘,아이소도데케인,12헥산다이올,부틸렌글라이콜다이카프릴레이트/다이카프레이트,라우릴피이지-9폴리다이메틸실록시에틸다이메티콘,아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머,보론나이트라이드,글리세린,병풀추출물,캐모마일꽃추출물,라즈베리씨오일/토코페릴석시네이트아미노프로판다이올에스터,스피룰리나추출물,합성플루오르플로고파이트,다이스테아다이모늄헥토라이트,C30-45알킬다이메틸실릴폴리프로필실세스퀴옥세인,마그네슘설페이트,솔비탄세스퀴올리에이트,에틸헥실글리세린,알루미늄하이드록사이드,트라이에톡시카프릴릴실레인,칸데릴라왁스,메틸메타크릴레이트크로스폴리머,스테아릭애씨드,다이메티콘/비닐다이메티콘크로스폴리머,글리세릴카프릴레이트,아크릴레이트/다이메티콘코폴리머,아데노신,글루타티온,토코페롤,카프릴릭/카프릭트라이글리세라이드,메틸사이클로덱스트린,하이드로제네이티드레시틴,세라마이드엔피,소듐하이알루로네이트,카프릴릴글라이콜,7-데하이드로콜레스테롤,아세틸헥사펩타이드-8,소듐디엔에이,다이소듐이디티에이,향료,황색산화철,적색산화철,흑색산화철"
4,퓨처리스트 아쿠아 브릴리언스 리퀴드 파운데이션 SPF15 PA++,에스티로더,"정제수,사이클로펜타실록세인,페닐트라이메티콘,부틸렌글라이콜,다이메티콘,아이소세틸알코올,카프릴릭/카프릭트라이글리세라이드,아이소헥사데칸,밀배아글리세라이드,피이지/피피지-20/20다이메티콘,솔비탄세스퀴올리에이트,마그네슘설페이트,티타늄디옥사이드,트라이베헤닌,하버레아로도펜시스잎추출물,비트뿌리추출물,수련뿌리추출물,바베리추출물,세네가뿌리추출물,콜레스테롤,호호바씨오일,소듐하이알루로네이트,메틸다이하이드로자스모네이트,에틸헥실메톡시신나메이트,글리세린,팔미토일올리고펩타이드,아텔로콜라겐,세틸피이지/피피지-10/1다이메티콘,효모추출물,리놀레익애씨드,스핑고리피드,다이스테아다이모늄헥토라이트,폴리실리콘-11,에틸헥실글리세린,라우레스-7,메티콘,토코페릴아세테이트,솔비탄스테아레이트,에틸헥실팔미테이트,잔탄검,트라이에틸시트레이트,하이드로제네이티드레시틴,폴리도데칸아미데아미늄트라이아자다이페닐에텐설포네이트,프로필렌카보네이트,아스코빌팔미테이트,솔비탄아이소스테아레이트,폴리비닐알코올크로스폴리머,덱스트린,실리카다이메틸실릴레이트,하이드록시프로필트라이모늄허니,카보머,키토산,사이클로덱스트린,알루미나,페녹시에탄올,클로로자일레놀,황색산화철,적색산화철,흑색산화철"
5,뗑 이돌 울트라 24H 파운데이션 SPF15,랑콤,"정제수,사이클로헥사실록세인,변성알코올,아이소도데케인,부틸렌글라이콜,아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머,나일론-12,에틸헥실메톡시신나메이트,피이지-10다이메티콘,아이소헥사데칸,실리카,펄라이트,알루미늄하이드록사이드,마그네슘설페이트,다이소듐스테아로일글루타메이트,세틸피이지/피피지-10/1다이메티콘,비에이치티,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,적색산화철,황색산화철,흑색산화철,티타늄디옥사이드"
6,더블 웨어 스테이 인 플레이스 메이크업 SPF10,에스티로더,"정제수,사이클로펜타실록세인,트라이메틸실록시실리케이트,피이지/피피지-18/18다이메티콘,부틸렌글라이콜,트라이베헤닌,폴리글리세릴-3다이아이소스테아레이트,마그네슘설페이트,토코페릴아세테이트,폴리메틸실세스퀴옥세인,메티콘,라우레스-7,잔탄검,알루미나,소듐데하이드로아세테이트,다이스테아다이모늄헥토라이트,셀룰로오스검,프로필렌카보네이트,페녹시에탄올,아이런옥사이드,마이카,티타늄디옥사이드,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트"
7,네이키드 글로우 쿠션 파운데이션 SPF50+ PA+++,어반디케이,"정제수,사이클로펜타실록세인,아이소노닐아이소노나노에이트,변성알코올,에틸헥실메톡시신나메이트,페닐트라이메티콘,피이지-10다이메티콘,글리세린,티타늄디옥사이드,비스-피이지/피피지-14/14다이메티콘,페녹시에탄올,마그네슘설페이트,탤크,나일론-12,다이스테아다이모늄헥토라이트,다이메티콘,에틸헥실하이드록시스테아레이트,알루미나,알루미늄하이드록사이드,프로필렌글라이콜,알지닌,소르비톨,만니톨,다이소듐아데노신트라이포스페이트,알엔에이,피리독신에이치씨엘,페닐에틸레조시놀,아스코빌글루코사이드,겐티아나추출물,히스티딘에이치씨엘,옥수수커넬추출물,비에이치티,펜틸렌글라이콜,페닐알라닌,페퍼민트추출물,서양장미꽃추출물,타이로신,소르빅애씨드,적색산화철,황색산화철,흑색산화철,비스머스옥시클로라이드,"
8,에센셜 스킨 누더 쿠션 SPF50 PA++,정샘물,"정제수,사이클로펜타실록세인,티타늄디옥사이드,에틸헥실메톡시신나메이트,트라이메틸실록시실리케이트,글리세린,에틸헥실살리실레이트,피이지-10다이메티콘,부틸렌글라이콜,나이아신아마이드,세틸에틸헥사노에이트,펜틸렌글라이콜,황색산화철,브이피/헥사데센코폴리머,카프릴릴메티콘,폴리프로필실세스퀴옥세인,마그네슘설페이트,세틸피이지/피피지-10/1다이메티콘,합성플루오르플로고파이트,스테아릭애씨드,다이스테아다이모늄헥토라이트,알루미나,아크릴레이트/다이메티콘코폴리머,알루미늄하이드록사이드,트라이에톡시카프릴릴실레인,다이메티콘,에틸헥실글리세린,다이메티콘크로스폴리머,아데노신,다이메티콘/비닐다이메티콘크로스폴리머,폴리글루타믹애씨드,다이소듐이디티에이,틴옥사이드,페녹시에탄올,향료,적색산화철,흑색산화철,마이카"
9,라이트 벨벳 쿠션 SPF50+ PA+++,메이크업포에버,"정제수,티타늄디옥사이드,페닐트라이메티콘,에틸헥실메톡시신나메이트,C12-15알킬벤조에이트,부틸렌글라이콜,글리세린,아이소도데케인,티타늄디옥사이드,세틸피이지/피피지-10/1다이메티콘,다이페닐실록시페닐트라이메티콘,실리카,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,벤조페논-3,마그네슘설페이트,페녹시에탄올,황색산화철,알루미늄스테아레이트,폴리하이드록시스테아릭애씨드,카프릴릴글라이콜,다이스테아다이모늄헥토라이트,솔비탄세스퀴올리에이트,다이메티콘/페닐비닐다이메티콘크로스폴리머,소듐미리스토일글루타메이트,알루미나,적색산화철,프로필렌카보네이트,알루미늄하이드록사이드,흑색산화철,비에이치티,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트"
10,마이크로 세팅핏 쿠션 SPF50+ PA+++,문샷,"정제수,티타늄디옥사이드,사이클로펜타실록세인,에틸헥실메톡시신나메이트,메틸트라이메티콘,에틸헥실살리실레이트,아이소노닐아이소노나노에이트,변성알코올,부틸렌글라이콜,피이지-10다이메티콘,나이아신아마이드,펜틸렌글라이콜,실리카,합성플루오르플로고파이트,비스-피이지/피피지-14/14다이메티콘,하이드롤라이즈드식물성단백질,트라이메틸실록시실리케이트,다이스테아다이모늄헥토라이트,마그네슘설페이트,아이소도데케인,스테아릭애씨드,알루미나,아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머,트라이에톡시카프릴릴실레인,알루미늄하이드록사이드,에틸헥실글리세린,아데노신,말토덱스트린,다이소듐이디티에이,페녹시에탄올,향료,황색산화철,적색산화철,흑색산화철"
