성분명,위험도,지성,건성,민감성
"1,2-헥산다이올",-1,0,0,0
C12-15알킬벤조에이트,-1,0,0,0
C13-14아이소파라핀,-1,0,0,0
C30-45알킬다이메틸실릴폴리프로필실세스퀴옥세인,0,0,0,0
갈락토아라비난,-1,0,0,0
감국추출물,0,0,0,0
감초추출물,-1,5,0,0
고수열매오일,-1,0,0,0
구기자추출물,-1,0,0,0
구아바열매추출물,-1,0,0,0
글리세레스-26,-1,0,0,0
글리세린,-2,0,5,0
글리세릴스테아레이트,-1,0,0,0
글리세릴스테아레이트시트레이트,-1,0,0,0
글리세릴아이소스테아레이트,0,0,0,0
글리세릴아크릴레이트/아크릴릭애씨드코폴리머,-1,0,0,0
글리세릴카프릴레이트,-1,0,0,0
금은화추출물,0,0,0,0
꽃창포추출물,0,0,0,0
꿀추출물,-1,0,0,0
녹두추출물,0,0,0,0
녹차씨오일,-1,0,0,0
녹차추출물,-1,5,0,0
다마스크장미꽃수,-1,0,0,0
다마스크장미꽃오일,-1,0,0,0
다이글리세린,-1,0,0,0
다이머디리놀레일다이머디리놀리에이트,-1,0,0,0
다이메티콘,-3,0,0,0
다이메티콘/비닐다이메티콘크로스폴리머,-1,0,0,0
다이메티콘크로스폴리머,-1,0,0,0
다이메티콘피이지-7포스페이트,-3,0,0,0
다이소듐스테아로일글루타메이트,-1,0,0,0
다이소듐이디티에이,-1,0,0,0
다이스테아다이모늄헥토라이트,-1,0,0,0
다이스테아릴다이모늄클로라이드,-3,0,0,0
다이아이소스테아릴말레이트,-1,0,0,0
다이에틸헥실말리에이트,0,0,0,0
다이칼슘포스페이트,-1,0,0,0
다이팔미토일하이드록시프롤린,-1,0,0,0
다이페닐다이메티콘,-1,0,0,0
다이페닐실록시페닐트라이메티콘,-1,0,0,0
다이펜타에리스리틸테트라하이드록시스테아레이트/테트라아이소스테아레이트,-1,0,0,0
다이펜타에리스리틸헥사C5-9애씨드에스터,-1,0,0,0
다이펜타에리스리틸헥사하이드록시스테아레이트,-1,0,0,0
다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트,0,0,0,0
다이프로필렌글라이콜,-1,0,0,0
달맞이꽃오일,-1,0,5,0
덩굴월귤열매추출물,-1,0,0,0
데하이드로아세틱애씨드,-1,0,0,0
덱스트린,-1,0,0,0
덱스트린팔미테이트/에칠헥사노에이트,-1,0,0,0
동백꽃추출물,-1,0,0,0
동백나무씨추출물,0,0,0,0
동백오일,-1,0,0,0
드럼스틱씨오일,-1,0,0,0
등색201호,0,0,0,0
등색205호,-2,0,0,0
다이소듐에칠렌디코카마이드피이지-15디설페이트,0,0,0,0
딸기추출물,-1,0,0,0
라벤더꽃수,-1,0,0,0
라우레스-21,-3,0,0,0
라우레스-7,-3,0,0,0
라우레스-8,-3,0,0,0
라우릴피이지-8다이메티콘,0,0,0,0
라우릴피이지-9폴리다이메틸실록시에틸다이메티콘,-3,0,0,0
라임추출물,0,0,0,0
라즈베리씨오일/토코페릴석시네이트아미노프로판디올에스터,0,0,0,0
라즈베리추출물,-1,0,0,0
레몬껍질오일,-3,0,0,-5
레몬밤추출물,-1,0,0,0
레몬추출물,-2,5,0,-5
레시틴,-3,0,0,0
로얄젤리추출물,-1,0,0,0
로즈마리잎오일,-1,0,0,0
로즈마리잎추출물,-1,0,0,0
로즈마리추출물,0,0,0,0
로즈힙씨추출물,-1,0,0,0
로즈힙열매오일,-1,0,0,0
로즈힙열매추출물,-1,0,0,0
로진,-6,0,0,0
리날룰,-5,0,0,0
리모넨,-6,0,0,0
린덴꽃추출물,0,0,0,0
마그네슘설페이트,-1,0,0,0
마그네슘실리케이트,-1,0,0,0
마이카,-2,0,0,0
마이크로크리스탈린왁스,-1,0,0,0
마카다미아씨오일,-1,0,0,0
말토덱스트린,-1,0,0,0
망가니즈바이올렛,-1,0,0,0
망고씨버터,-1,0,0,0
망고씨오일,-1,0,0,0
망고추출물,-1,0,0,0
메도우폼씨오일,-1,0,0,0
메톡시피이지-114/폴리엡실론카프롤락톤,0,0,0,0
메톡시피이지-18,0,0,0,0
메티콘,-1,0,0,0
메틸메타크릴레이트크로스폴리머,-1,0,0,0
메틸트라이메티콘,-1,0,0,0
메틸하이드로제네이티드로지네이트,-2,0,0,0
멘톡시프로판다이올,-1,0,0,0
목화씨오일,-1,0,0,0
무화과추출물,-1,0,0,0
무환자추출물,-1,0,0,0
미레스-3미리스테이트,-1,0,0,0
미리스틸알코올,-1,0,0,0
바닐린,-1,0,0,0
바륨설페이트,-2,0,0,0
바바수씨오일,-1,0,0,0
바오밥나무씨오일,-1,0,0,0
벚꽃추출물,-1,0,0,0
베르가모트열매추출물,-1,0,0,0
베타-카로틴,-2,0,5,0
베헤닐알코올,-1,0,0,0
벤조페논-9,-2,0,0,0
벤질벤조에이트,-6,0,0,0
벤질살리실레이트,-7,0,0,0
벤질알코올,-5,0,0,0
변성알코올,-4,0,0,0
복숭아추출물,-1,0,5,0
부틸렌/에틸렌/스타이렌코폴리머,-1,0,0,0
부틸렌글라이콜,-1,0,5,0
부틸아크릴레이트/하이드록시프로필다이메티콘아크릴레이트코폴리머,-1,0,0,0
붉은누룩곰팡이추출물,-1,0,0,0
브이피/메타크릴아마이드/비닐이미다졸코폴리머,-1,0,0,0
브이피/아이코센코폴리머,-1,0,0,0
브이피/헥사데센코폴리머,-1,0,0,0
블랙베리추출물,-1,0,0,0
블랙체리나무열매추출물,-1,0,0,0
블랙커런트잎추출물,-1,0,0,0
블랙커민씨오일,-1,0,0,0
블루베리추출물,-1,0,0,0
비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,0,0,0,0
비스-다이글리세릴폴리아실아디페이트-2,-1,0,0,0
