번호,제품명,브랜드명,성분구성
1,라스트 벨벳 립 틴트 4,삐아,"합성플루오르플로고파이트,폴리글리세릴-2아이소스테아레이트,다이메티콘/비닐다이메티콘크로스폴리머,다이메티콘,정제수,사이클로펜타실록세인,트라이메틸실록시실리케이트,아이소도데케인,세틸피이지/피피지-10/1다이메티콘,폴리메틸메타크릴레이트,폴리메틸실세스퀴옥세인,브이피/헥사데센코폴리머,솔비탄세스퀴올리에이트,12-헥산다이올,페녹시에탄올,에틸헥실글리세린,피이지-60하이드로제네이티드캐스터오일,다이스테아다이모늄헥토라이트,팔미틱애씨드,스테아릭애씨드,프로필렌카보네이트,실리카다이메틸실릴레이트,티타늄디옥사이드,적색산화철,흑색산화철,향료,황색5호,적색104호의1,적색102호"
2,라스트 벨벳 립 틴트 3,삐아,"합성플루오르플로고파이트,폴리글리세릴-2아이소스테아레이트,다이메티콘/비닐다이메티콘크로스폴리머,다이메티콘,정제수,사이클로펜타실록세인,트라이메틸실록시실리케이트,아이소도데케인,세틸피이지/피피지-10/1다이메티콘,폴리메틸메타크릴레이트,폴리메틸실세스퀴옥세인,브이피/헥사데센코폴리머,솔비탄세스퀴올리에이트,12-헥산다이올,페녹시에탄올,에틸헥실글리세린,피이지-60하이드로제네이티드캐스터오일,다이스테아다이모늄헥토라이트,팔미틱애씨드,스테아릭애씨드,프로필렌카보네이트,실리카다이메틸실릴레이트,티타늄디옥사이드,흑색산화철,향료,황색5호,적색104호의1,적색202호"
3,베르니 아 레브르 바이닐 크림,입생로랑,"정제수,옥틸도데칸올,트라이메틸실록시페닐다이메티콘,에틸셀룰로오스,합성왁스,세틸알코올,알코올,폴리부텐,글리세릴스테아레이트,베헤닐알코올,스테아레스-20,페녹시에탄올,소듐라우릴설페이트,글리세릴스테아레이트시트레이트,다이소듐에칠렌디코카마이드피이지-15디설페이트,하이드록시프로필구아,칼슘알루미늄보로실리케이트,합성플루오르플로고파이트,스테아릴알코올,미리스틸알코올,마그네슘실리케이트,칼슘소듐보로실리케이트,알루미늄하이드록사이드,소듐사카린,알루미나,실리카,벤질알코올,틴옥사이드,아니스알코올,향료,티타늄디옥사이드,적색202호,적색산화철,황색산화철,흑색산화철,황색5호,적색227호,등색205호,적색104호의1,마이카,황색4호,청색1호,카민"
4,라스트 벨벳 립 틴트,삐아,"다이메티콘,합성플루오르플로고파이트,다이메티콘/비닐다이메티콘크로스폴리머,프로필렌글라이콜,정제수,폴리글리세릴-2아이소스테아레이트,세틸피이지/피피지-10/1다이메티콘,폴리메틸메타크릴레이트,폴리메틸실세스퀴옥세인,사이클로펜타실록세인,트라이메틸실록시실리케이트,브이피/헥사데센코폴리머,솔비탄세스퀴올리에이트,페녹시에탄올,피이지-60하이드로제네이티드캐스터오일,다이스테아다이모늄헥토라이트,팔미틱애씨드,프로필렌카보네이트,실리카다이메틸실릴레이트,적색218호,적색산화철,흑색산화철,황색산화철,티타늄디옥사이드,적색104호의1,망가니즈바이올렛,향료"
5,어딕트 라커 플럼프,디올,"정제수,메틸하이드로제네이티드로지네이트,하이드로제네이티드폴리아이소부텐,폴리글리세릴-2트라이아이소스테아레이트,글리세린,카프릴릭/카프릭트라이글리세라이드,하이드로제네이티드폴리사이클로펜타디엔,비스-베헤닐/아이소스테아릴/피토스테릴다이머디리놀레일다이머디리놀리에이트,알코올,스테아레스-21,미레스-3미리스테이트,메도우폼씨오일,페녹시에탄올,다이팔미토일하이드록시프롤린,스테아레스-2,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,티타늄디옥사이드,스쿠알란,팔미틱애씨드,트라이메틸올프로판트라이아이소스테아레이트,폴리솔베이트60,부틸렌글라이콜,황색5호,적색103호의(1),스테비오사이드,향료,소듐시트레이트,소듐하이알루로네이트,적색226호레이크,황색5호레이크,솔비탄아이소스테아레이트,시트릭애씨드,멘톡시프로판다이올,토코페롤,오크라열매추출물,프로필갈레이트,비에이치티,벤질살리실레이트,리날룰,아밀신나몰"
6,따뚜아쥬 꾸뛰르,입생로랑,"정제수,다이메티콘,옥틸도데칸올,아이소도데케인,부틸렌글라이콜,알코올,아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머,세틸피이지/피피지-10/1다이메티콘,트라이메틸펜타페닐트라이실록세인,다이스테아다이모늄헥토라이트,폴리글리세릴-4아이소스테아레이트,마그네슘설페이트,페녹시에탄올,알루미나,프로필렌카보네이트,피이지/피피지-18/18다이메티콘,합성플루오르플로고파이트,다이소듐스테아로일글루타메이트,칼슘소듐보로실리케이트,알루미늄하이드록사이드,블랙커민씨오일,칼슘알루미늄보로실리케이트,벤질알코올,로진,마그네슘실리케이트,실리카,아니스알코올,틴옥사이드,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,토코페롤,향료,티타늄디옥사이드,적색104호의1,적색산화철,황색산화철,흑색산화철,적색103호의(1),황색5호,적색227호,망가니즈바이올렛,황색4호,바륨설페이트,적색201호,청색1호,카민"
7,압솔뤼 에나멜 라커,랑콤,"옥틸도데칸올,정제수,트라이메틸실록시페닐다이메티콘,에틸셀룰로오스,솔비탄스테아레이트,글리세린,알코올,틴옥사이드,칼슘알루미늄보로실리케이트,칼슘소듐보로실리케이트,소듐라우릴설페이트,실리카,알루미나,알루미늄하이드록사이드,마그네슘실리케이트,수크로오스코코에이트,하이드록시프로필구아,합성플루오르플로고파이트,세틸알코올,페녹시에탄올,제라니올,하이드록시시트로넬알,헥실신나몰,벤질알코올,향료,적색202호,황색5호,적색227호,황색4호,청색1호,적색104호의1,카민,바륨설페이트,적색산화철,황색산화철,흑색산화철,티타늄디옥사이드,마이카"
8,베르니 아 레브르 팝 워터,입생로랑,"옥틸도데칸올,정제수,트라이메틸실록시페닐다이메티콘,에틸셀룰로오스,글리세린,솔비탄스테아레이트,알코올,세틸알코올,페녹시에탄올,수크로오스코코에이트,칼슘알루미늄보로실리케이트,소듐라우릴설페이트,하이드록시프로필구아,합성플루오르플로고파이트,칼슘소듐보로실리케이트,소듐폴리아크릴레이트,알루미나,마그네슘실리케이트,실리카,벤질알코올,틴옥사이드,리모넨,벤질벤조에이트,아니스알코올,향료"
9,루쥬 쀠르 꾸뛰르 베르니 아 레브르,입생로랑,"옥틸도데칸올,정제수,트라이메틸실록시페닐다이메티콘,에틸셀룰로오스,솔비탄스테아레이트,알코올,세틸알코올,수크로오스코코에이트,페녹시에탄올,소듐라우릴설페이트,하이드록시프로필구아,합성플루오르플로고파이트,칼슘알루미늄보로실리케이트,마그네슘실리케이트,실리카,리모넨,칼슘소듐보로실리케이트,벤질벤조에이트,틴옥사이드,아니스알코올,알루미나,향료"
10,벨벳 립 틴트,3CE,"다이메티콘,사이클로펜타실록세인,폴리글리세릴-2트라이아이소스테아레이트,다이메티콘크로스폴리머,다이메티콘/비닐다이메티콘크로스폴리머,아이소도데케인,사이클로헥사실록세인,황색5호,12-헥산다이올,적색202호,적색104호의1,다이스테아다이모늄헥토라이트,페녹시에탄올,적색218호,향료,피이지-10다이메티콘,토코페릴아세테이트,프로필렌카보네이트,카프릴릭/카프릭트라이글리세라이드,해바라기씨오일,포트마리골드꽃오일,로즈힙열매추출물,장미추출물"
