성분명,위험도,지성,건성,민감성
12헥산다이올,-1,0,0,0
4-메칠벤질리덴캠퍼,-7,0,0,0
C12-15알코올,0,0,0,0
C12-15알킬벤조에이트,-1,0,0,0
C12-20알킬글루코사이드,-1,0,0,0
C14-22알코올,-1,0,0,0
C20-22알코올,-1,0,0,0
C20-22알킬포스페이트,-1,0,0,0
C30-45알킬메치콘,-1,0,0,0
C30-45알킬세테아릴다이메티콘크로스폴리머,-1,0,0,0
C30-45올레핀,-1,0,0,0
민감초추출물,0,0,0,0
t-부틸알코올,-2,0,0,0
가는잎그늘사초뿌리추출물,0,0,0,0
가시대나무수액,0,0,0,0
갈란투스씨추출물,0,0,0,0
갈조추출물,-1,0,0,0
감국꽃추출물,0,0,0,0
감국추출물,0,0,0,0
감나무잎추출물,0,0,0,0
감초추출물,-1,0,0,0
개박하추출물,-1,0,0,0
겐티아나뿌리추출물,-1,0,0,0
겨우살이잎추출물,-1,0,0,0
곤포추출물,-1,0,0,0
광곽향오일,-1,0,0,0
구주소나무잎오일,-2,0,0,0
귀리잎추출물,-1,0,0,0
귀리커넬추출물,-1,0,0,0
글라이신,-1,0,0,0
글라이콜스테아레이트,-1,0,0,0
글루코오스,-1,0,0,0
글루타믹애씨드,-1,0,0,0
글루타밀아미도에틸인돌,-1,0,0,0
글리세레스-26,-1,0,0,0
글리세린,-2,0,5,0
글리세릴라우레이트,-3,0,0,0
글리세릴스테아레이트,-1,0,0,0
글리세릴스테아레이트에스이,-1,0,0,0
글리세릴올리에이트,-1,0,0,0
글리세릴카프릴레이트,-1,0,0,0
글리세릴폴리메타크릴레이트,-1,0,0,0
글리시레티닉애씨드,-1,0,0,0
금은화추출물,0,0,0,0
나이아신아마이드,-1,0,0,0
나일론-12,-1,0,0,0
납작파래추출물,-1,0,0,0
낫토검,-1,0,0,0
네오펜틸글라이콜다이헵타노에이트,-1,0,0,0
녹차수,-1,5,0,0
녹차추출물,-1,5,0,0
눈연꽃추출물,-1,0,0,0
다래나무즙,0,0,0,0
다마스크장미꽃수,-1,0,0,0
다마스크장미꽃오일,-1,0,0,0
다마스크장미꽃추출물,-1,0,0,0
다이메티콘,-3,0,0,0
다이메티콘/비닐다이메티콘크로스폴리머,-1,0,0,0
다이메티콘코폴리올,0,0,0,0
다이메티콘크로스폴리머,-1,0,0,0
다이소듐아데노신트리포스페이트,-1,0,0,0
다이소듐이디티에이,-1,0,0,0
다이스테아다이모늄헥토라이트,-1,0,0,0
다이스테아릴다이모늄클로라이드,-3,0,0,0
다이카프릴릴카보네이트,-1,0,0,0
다이포타슘글리시리제이트,-1,0,0,0
다이프로필렌글라이콜,-1,0,0,0
다이프로필렌글라이콜다이벤조에이트,-1,0,0,0
닥나무뿌리추출물,0,0,0,0
달맞이꽃오일,-1,0,5,0
달맞이꽃추출물,-1,0,5,0
당근추출물,-1,0,0,0
당느릅나무뿌리추출물,-1,0,0,0
데실글루코사이드,-1,0,0,0
데이지꽃추출물,-1,0,0,0
데하이드로아세틱애씨드,-1,0,0,0
데하이드로잔탄검,-1,0,0,0
덱스트린팔미테이트,-1,0,0,0
도둑놈의지팡이뿌리추출물,-1,0,0,0
두송열매추출물,0,0,0,0
드로메트리졸트리실록산,-4,0,0,0
들깨추출물,-1,0,0,0
디부틸아디페이트,-1,0,0,0
디스타치포스페이트,-1,0,0,0
디아이소프로필세바케이트,-1,0,0,0
디에칠아미노하이드록시벤조일헥실벤조에이트,-2,0,0,0
디에칠헥실카보네이트,-1,0,0,0
디엔에이,-1,0,0,0
디이소스테아릴말레이트,-1,0,0,0
디카프릴릴에텔,-1,0,0,0
디팔미토일하이드록시프롤린,-1,0,0,0
디페닐다이메티콘,0,0,0,0
디헥실데실라우로일글루타메이트,0,0,0,0
라반딘오일,-1,0,0,0
라벤더꽃수,-1,0,0,0
라벤더꽃추출물,-1,0,0,0
라벤더오일,-1,0,0,-5
라벤더추출물,-1,0,0,0
라우레스-12,-3,0,0,0
라우로일라이신,-1,0,0,0
라우릴메타크릴레이트/글라이콜디메타크릴레이트크로스폴리머,-1,0,0,0
라우릴메타크릴레이트/소듐메타크릴레이트크로스폴리머,0,0,0,0
라우릴피이지-8다이메티콘,0,0,0,0
라우릴피이지-9폴리다이메틸실록시에틸다이메티콘,-3,0,0,0
라이신,-1,0,0,0
라임꽃추출물,0,0,0,0
라임전초오일,-3,0,0,0
라즈베리잎추출물,-1,0,0,0
라즈베리추출물,-1,0,0,0
라케모사승마뿌리추출물,-1,0,0,0
라피노오스,0,0,0,0
락토바실러스/녹두씨추출물/소듐글루타메이트발효여과물,0,0,0,0
락토바실러스/부레옥잠발효물,0,0,0,0
락토바실러스/콩발효추출물,-1,0,0,0
락토바실러스/히비스커스꽃발효여과물글리세린,-1,0,0,0
락토바실러스발효물,-1,0,0,0
락틱애씨드,-4,0,0,-5
레드호그위드뿌리추출물,0,0,0,0
레몬그라스추출물,-1,0,0,0
레몬껍질오일,-3,0,0,-5
레몬밤잎추출물,-1,0,0,0
레몬버베나잎추출물,-7,0,0,0
