번호,제품명,브랜드명,성분구성,지성피부,건성피부,민감성피부,기능성 성분,
1,프리미엄 선 프로텍션 크림 SPF50+ PA+++,A24,"알로에베라잎추출물,징크옥사이드,티타늄디옥사이드,에틸헥실메톡시신나메이트,달맞이꽃오일,글리세린,해바라기씨오일,프로필렌글라이콜,솔비탄세스퀴올리에이트,아이소노닐아이소노나노에이트,쉐어버터,알부틴,귀리잎추출물,포도추출물,병풀추출물,자몽추출물,잇꽃씨오일,버지니아풍년화추출물,스테아릭애씨드,호호바씨오일,참깨오일,다이스테아다이모늄헥토라이트,당근추출물,녹차추출물,사과추출물,토코페릴아세테이트,라벤더오일,키위씨오일,곤포추출물,로우스위트블루베리추출물,아데노신",,,,,
2,UV 릴리프 모이스처라이저 SPF50+ PA++++,비레머디스,"정제수,부틸렌글라이콜,글리세린,다이카프릴릴카보네이트,디부틸아디페이트,디에칠아미노하이드록시벤조일헥실벤조에이트,하이드로제네이티드폴리아이소부텐,쇠비름추출물,12-헥산다이올,나이아신아마이드,에칠헥실트리아존,폴리글리세릴-3메틸글루코오스다이스테아레이트,실리카,세테아릴올리베이트,소듐하이알루로네이트,아데노신,보검선인장씨오일,오렌지껍질오일,라벤더오일,캐모마일꽃오일,바오밥나무씨오일,흰버드나무껍질추출물,락토바실러스/콩발효추출물,오레가노잎추출물,실론시나몬추출물,황금추출물,편백잎추출물,마시멜로뿌리추출물,약모밀추출물,에델바이스추출물,쟈스민추출물,참나리추출물,레몬추출물,세테아릴알코올,솔비탄올리베이트,글리세릴스테아레이트에스이,메틸글루코오스세스퀴스테아레이트,솔비탄스테아레이트,다이소듐이디티에이",,,,,
3,유브이 디펜스 미 블루 레이 선 플루이드 SPF50+ PA++++,메이크프렘,"정제수,사이클로메티콘,징크옥사이드,프로판다이올,티타늄디옥사이드,다이카프릴릴카보네이트,폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘,세틸에틸헥사노에이트,12-헥산다이올,다이스테아다이모늄헥토라이트,마그네슘설페이트,치아씨추출물,병풀추출물,약모밀추출물,하이드로젠다이메티콘,알루미늄하이드록사이드,폴리글리세릴-2다이폴리하이드록시스테아레이트,스테아릭애씨드,다이메티콘크로스폴리머,페닐트라이메티콘,프룩토올리고사카라이드,사카라이드하이드롤리세이트,풀루란,베르가모트오일,에틸헥실글리세린,옥틸도데칸올,세이지오일,만주자작나무수액,다이프로필렌글라이콜,에키움플란타기네움씨오일,자일리틸글루코사이드,소듐팔미토일프롤린,함경딸기캘러스추출물,안하이드로자일리톨,자일리톨,알바수련꽃추출물,부틸렌글라이콜,풍선덩굴꽃/잎/덩굴추출물,해바라기씨오일불검화물,글루코오스,토코페롤,소듐하이알루로네이트",,,,,
4,마일드 포뮬라 데일리 선스크린 SPF50+ PA+++(수분더한노란자차),UV랩,"정제수,에틸헥실메톡시신나메이트,에틸헥실팔미테이트,에칠헥실살리실레이트,티타늄디옥사이드,부틸옥틸살리실레이트,프로판다이올,디에칠아미노하이드록시벤조일헥실벤조에이트,글리세린,네오펜틸글라이콜다이헵타노에이트,옥토크릴렌,세테아릴알코올,금은화추출물,인동덩굴꽃추출물,글리세릴스테아레이트,펜틸렌글라이콜,폴리솔베이트60,아크릴레이트코폴리머,메틸메타크릴레이트크로스폴리머,폴리메틸실세스퀴옥세인,실리카,솔비탄세스퀴올리에이트,알루미늄하이드록사이드,트로메타민,스테아릭애씨드,하이드록시아세토페논,카프릴릴글라이콜,잔탄검,다이소듐이디티에이",,,,,
5,레이저 썬스크린 100 SPF50+ PA+++,셀퓨전씨,"정제수,사이클로펜타실록세인,에틸헥실메톡시신나메이트,부틸렌글라이콜,에칠헥실살리실레이트,징크옥사이드,다이카프릴릴카보네이트,다이프로필렌글라이콜,티타늄디옥사이드,라우릴피이지-8다이메티콘,피이지-10다이메티콘,다이메티콘,다이스테아다이모늄헥토라이트,토코페릴아세테이트,마그네슘설페이트,다이메티콘/비닐다이메티콘크로스폴리머,페닐트라이메티콘,알루미늄하이드록사이드,알루미늄스테아레이트,메티콘,폴리글리세릴-6폴리리시놀리에이트,글리세릴카프릴레이트,카프릴릴글라이콜,다이소듐이디티에이,유비퀴논,하이드롤라이즈드콜라겐,아세틸헥사펩타이드-8,향료,페녹시에탄올",,,,,
6,UV 아쿠아 리치 워터리 에센스 SPF50+ PA++++,비오레,"정제수,알코올,에칠헥실메톡시신나메이트,라우릴메타크릴레이트/소듐메타크릴레이트크로스폴리머,C12-15알킬벤조에이트,비스-에칠헥실옥시페놀메톡시페닐트리아진,디에칠아미노하이드록시벤조일헥실벤조에이트,다이메티콘,에칠헥실트리아존,실리카다이메틸실릴레이트,다이프로필렌글라이콜,자일리톨,덱스트린팔미테이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,다이메티콘/비닐다이메티콘크로스폴리머,폴리실리콘-9,글리세릴스테아레이트,아미노메틸프로판올,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,아가,이소세테스-20,C30-45알킬메치콘,폴리비닐알코올,C30-45올레핀,소듐하이드록사이드,부틸렌글라이콜,프로필렌글라이콜,소듐하이알루로네이트,로얄젤리추출물,오렌지추출물,자몽추출물,레몬추출물,페녹시에탄올,다이소듐이디티에이,비에이치티,향료",,,,,
7,슈퍼푸드 블루베리 리밸런싱 워터리 선크림 SPF37 PA+++,이니스프리,"정제수,프로판다이올,티타늄디옥사이드,페닐트라이메티콘,다이카프릴릴카보네이트,메틸프로판다이올,사이클로메티콘,피피지-14부틸에텔,글리세레스-26,펜틸렌글라이콜,메칠트리메치콘,로우스위트블루베리추출물,치아씨추출물,병풀추출물,약모밀추출물,베타인,트레할로오스,소듐하이알루로네이트,프룩토올리고사카라이드,사카라이드하이드롤리세이트,호호바씨오일,스쿠알란,라벤더오일,오렌지껍질오일,폴리글리세릴-2카프레이트,메틸메타크릴레이트크로스폴리머,부틸렌글라이콜,수크로오스스테아레이트,셀룰로오스검,하이드록시프로필메틸셀룰로오스,세틸하이드록시에칠셀룰로오스,스테아릭애씨드,알루미나,풀루란,12-헥산다이올,글리세릴카프릴레이트,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,에틸헥실글리세린,트로메타민,C12-15알킬벤조에이트,알루미늄스테아레이트,폴리하이드록시스테아릭애씨드",,,,,
8,365 안심 선크림 SPF50+ PA++++,라운드랩,"정제수,사이클로메티콘,징크옥사이드,티타늄디옥사이드,프로판다이올,폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘,디부틸아디페이트,카프릴릴메티콘,12-헥산다이올,다이스테아다이모늄헥토라이트,마그네슘설페이트,하이드로젠다이메티콘,알루미늄하이드록사이드,치아씨추출물,C30-45알킬세테아릴다이메티콘크로스폴리머,병풀추출물,약모밀추출물,폴리글리세릴-2다이폴리하이드록시스테아레이트,스테아릭애씨드,프룩토올리고사카라이드,사카라이드하이드롤리세이트,베르가모트오일,해바라기씨오일,에틸헥실글리세린,풀루란,옥틸도데칸올,센티드제라늄꽃오일,판테놀,다마스크장미꽃오일,에키움플란타기네움씨오일,풍선덩굴꽃/잎/덩굴추출물,해바라기씨오일불검화물,부틸렌글라이콜,카프릴릭/카프릭트라이글리세라이드,토코페롤,포스파티딜콜린,세라마이드엔피,글라이신,글루타믹애씨드,세린,라이신,알라닌,알지닌,트레오닌",,,,,
9,어반 쉐이드 안티폴루션 선 SPF50 PA+++,듀이트리,"정제수,사이클로메티콘,징크옥사이드,프로판다이올,티타늄디옥사이드,폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘,다이카프릴릴카보네이트,칼라민,카프릴릴메티콘,12-헥산다이올,잇꽃씨오일,쓴박하추출물,바이오사카라이드검-4,마리골드꽃추출물,마그네슘설페이트,다이스테아다이모늄헥토라이트,치아씨추출물,병풀추출물,약모밀추출물,하이드로젠다이메티콘,알루미늄하이드록사이드,C30-45알킬세테아릴다이메티콘크로스폴리머,폴리글리세릴-2다이폴리하이드록시스테아레이트,스테아릭애씨드,프룩토올리고사카라이드,사카라이드하이드롤리세이트,베르가모트오일,해바라기씨오일,오렌지껍질오일,풀루란,올리브오일,에틸헥실글리세린,옥틸도데칸올,센티드제라늄꽃오일,라벤더오일,다마스크장미꽃오일,에키움플란타기네움씨오일,글리세린,바질오일,풍선덩굴꽃/잎/덩굴추출물,해바라기씨오일불검화물,시트릭애씨드,토코페롤",,,,,
10,유비데아 XL 내츄럴 크림(유비데아엑스엘멜트인크림) SPF50 PA+++,라로슈포제,"정제수,에틸헥실메톡시신나메이트,드로메트리졸트리실록산,글리세린,프로필렌글라이콜,다이메티콘,티타늄디옥사이드,펜틸렌글라이콜,변성알코올,테레프탈릴리덴디캠퍼설포닉애씨드,디에칠아미노하이드록시벤조일헥실벤조에이트,트라이에탄올아민,비스-에칠헥실옥시페놀메톡시페닐트리아진,스테아릭애씨드,포타슘세틸포스페이트,팔미틱애씨드,글리세릴스테아레이트,피이지-100스테아레이트,세틸알코올,페녹시에탄올,카보머,알루미늄하이드록사이드,트로메타민,소듐코코일사코시네이트,카프릴릴글라이콜,부틸렌글라이콜,토코페롤,잔탄검,다이소듐이디티에이,쉐어버터씨드케이크추출물",,,,,
